date,basis,basis_risk,basis_disparate_ratio,cd_p_change(%),cd_p_range,cny_yesterday_change,cny_night_change,jpy_yesterday_change,jpy_night_change,kospi_p_change(%),kospi_p_range,ks200_p_change(%),ks200_p_range,NAS_close_change,NAS_day_change,NAS_day_fluc_range,niv_night_change,P/C Ratio,put_volume_fluc,call_volume_fluc,sp_close_change,sp_day_change,sp_day_fluc_range,usd_yesterday_change,usd_night_change,vix_close_change,vix_day_change,vix_day_fluc_range,VKOSPI_Label
2023-07-31,3.13,-0.43,0.904,0.0,0.0,0.346,-0.824,0.102,0.42,-0.027,14.0,-0.038,1.9,1.9,0.823,156.25,0.43,1.13,5.178,-7.832,0.99,0.361,26.15,-0.883,0.039,-7.49,-4.989,0.91,0
2023-08-01,3.56,-0.43,1.019,0.0,0.0,0.534,-0.908,0.743,-0.874,0.331,22.87,0.186,3.06,0.21,0.057,78.16,-1.092,0.97,0.882,17.359,0.15,0.09,21.08,0.356,0.033,2.25,-2.504,0.52,0
2023-08-02,3.49,-0.07,1.0,0.0,0.0,0.304,-0.883,0.494,-1.27,-0.035,14.04,-0.155,1.62,-0.43,0.063,93.57,1.498,0.99,22.169,20.248,-0.27,-0.046,17.09,0.839,0.031,2.2,1.309,0.55,1
2023-08-03,2.09,-1.4,0.607,-0.267,-0.01,0.248,-0.638,0.86,-1.427,0.199,22.67,0.163,3.01,-2.17,-1.127,219.04,5.074,1.24,19.969,-4.319,-1.38,-0.825,45.18,0.739,0.042,15.51,2.484,1.53,1
2023-08-04,3.31,1.22,0.969,-0.268,-0.01,-0.093,-0.176,-0.304,-0.573,0.065,12.62,-0.015,1.85,-0.1,0.431,150.93,3.146,0.95,-4.419,24.606,-0.25,0.17,33.95,-0.035,0.071,-1.06,-5.069,1.7,0
2023-08-07,2.26,1.05,0.66,0.0,0.0,0.302,-0.274,0.024,0.203,0.197,14.16,0.346,3.11,-0.36,-0.832,221.29,2.589,1.06,4.463,-6.215,-0.53,-0.796,65.79,0.319,0.016,7.41,6.808,2.82,0
2023-08-08,1.2,-1.06,0.352,-0.538,-0.02,-0.219,-0.132,-0.542,0.477,0.16,16.09,0.047,2.58,0.61,0.157,132.23,-1.767,0.91,-1.401,13.884,0.9,0.598,28.69,0.231,0.048,-7.78,-6.686,1.59,1
2023-08-09,2.56,-0.84,0.751,0.0,0.0,0.154,0.038,-0.462,0.972,0.068,23.9,-0.05,3.17,-0.79,0.064,130.4,-0.099,1.02,65.515,48.18,-0.42,0.03,38.92,0.672,0.023,1.4,-1.781,2.18,0
2023-08-10,2.41,-0.15,0.709,-0.541,-0.02,0.619,-0.882,0.805,-0.39,0.12,7.65,-0.012,1.02,-1.17,-1.263,200.15,0.0,1.05,-19.689,-21.881,-0.7,-0.752,41.11,-0.299,0.002,-0.19,0.949,1.49,0
2023-08-11,3.12,-0.71,0.915,0.272,0.01,0.218,-0.874,0.136,-0.961,-0.333,17.65,-0.286,2.46,0.12,-0.581,260.65,0.0,1.04,-10.175,-9.487,0.03,-0.408,69.45,0.289,0.094,-0.69,1.733,2.26,0
2023-08-14,2.25,-0.87,0.667,0.0,0.0,0.109,0.044,-0.196,0.136,-0.604,16.6,-0.569,2.37,-0.68,0.082,110.35,-2.236,1.16,-61.225,-65.087,-0.11,0.3,32.25,0.923,0.023,-6.37,-4.443,1.67,1
2023-08-16,2.01,-0.24,0.605,0.271,0.01,-0.114,-0.06,0.109,0.007,-0.359,18.01,-0.336,2.39,-0.09,0.452,184.86,4.562,0.9,-11.772,13.975,-0.58,-0.207,41.785,-0.114,0.034,11.07,10.1,1.66,1
2023-08-17,2.28,0.27,0.697,0.0,0.0,0.071,0.0,0.266,-0.403,0.349,30.86,0.279,3.89,-1.15,-0.872,171.29,-1.152,0.94,16.81,11.155,-0.76,-0.664,46.4,0.325,0.054,1.94,1.451,1.13,0
2023-08-18,1.97,0.31,0.598,0.0,0.0,-0.179,0.011,-0.667,0.278,0.184,22.07,0.332,3.39,-1.17,-1.555,231.64,3.834,1.03,45.564,32.39,-0.77,-1.041,56.34,-0.199,0.037,6.62,5.483,1.73,0
2023-08-21,1.69,0.28,0.511,0.0,0.0,-0.125,0.218,0.133,0.415,0.12,12.71,0.048,1.88,-0.2,0.764,174.11,0.973,0.98,-33.046,-29.439,-0.01,0.571,46.51,-0.044,0.075,-3.3,-2.809,1.74,0
2023-08-22,1.31,0.38,0.395,0.0,0.0,-0.881,0.922,-0.369,0.156,0.356,16.76,0.181,2.32,1.56,1.126,191.27,-3.561,1.01,-10.94,-13.823,0.69,0.445,47.25,-0.076,0.066,-0.98,-4.992,1.23,0
2023-08-23,2.43,1.12,0.738,-0.27,-0.01,-0.066,0.817,-0.732,0.986,-0.211,12.5,-0.2,2.17,0.06,-0.648,114.38,0.689,1.27,36.359,8.842,-0.28,-0.629,35.82,-0.017,0.075,-0.93,0.059,0.97,0
2023-08-24,1.59,0.84,0.478,0.0,0.0,-0.526,0.507,-0.777,1.437,-0.014,10.46,-0.078,1.36,1.59,1.394,224.57,-1.468,1.01,-23.268,-3.781,1.1,0.9,46.74,-1.073,0.113,-5.83,-3.966,1.19,0
2023-08-25,1.47,-0.12,0.445,0.0,0.0,-0.072,0.507,-0.139,0.837,0.163,18.81,0.167,2.1,-1.87,-2.677,371.84,5.254,1.49,38.667,-5.5,-1.35,-1.77,82.75,-0.043,0.075,7.63,10.469,1.84,0
2023-08-28,1.52,-0.05,0.458,0.0,0.0,-0.341,0.381,-0.014,0.124,0.22,13.06,0.109,1.54,0.94,0.564,257.08,-2.225,1.13,-18.996,6.52,0.67,0.372,62.17,-0.362,0.079,-8.84,-8.89,1.91,0
2023-08-29,2.0,-0.48,0.601,0.0,0.0,0.293,-0.006,0.107,-0.137,-0.138,11.71,-0.21,1.76,0.84,0.071,109.34,-3.1,1.21,-10.66,-16.185,0.63,0.164,24.58,-0.057,0.03,-3.83,-7.143,1.28,0
2023-08-30,1.64,0.36,0.487,0.0,0.0,0.457,-0.783,0.579,-0.715,-0.007,8.97,-0.05,1.31,1.74,1.874,282.75,-1.833,1.17,17.657,21.369,1.45,1.464,68.46,-0.464,0.041,-4.18,-4.178,0.96,0
2023-08-31,1.5,-0.14,0.448,0.0,0.0,-0.646,0.16,-1.082,0.477,-0.194,11.25,-0.107,1.53,0.54,0.412,126.62,-2.424,1.26,4.38,-3.553,0.38,0.323,28.06,0.371,0.023,-3.94,-4.474,0.87,0
2023-09-01,2.18,-0.68,0.648,-0.271,-0.01,-0.231,0.8,-0.266,1.252,-0.069,17.36,-0.012,3.64,0.11,-0.047,104.19,0.296,0.88,-30.902,-0.202,-0.16,-0.207,24.87,0.102,0.024,-2.23,-2.933,0.56,0
2023-09-04,1.24,0.94,0.366,0.272,0.01,0.364,-0.198,-0.062,0.241,-0.211,10.66,-0.1,1.22,0.11,-0.047,104.19,0.059,1.1,82.344,45.763,-0.16,-0.207,24.87,-0.597,0.068,-3.54,-3.466,0.54,0
2023-09-05,1.83,-0.59,0.539,0.271,0.01,0.082,-0.521,0.317,-0.318,-0.181,10.69,-0.244,1.96,-0.02,-0.695,167.2,2.1,1.09,-11.839,-11.021,0.18,-0.327,39.9,-0.094,0.091,5.58,1.468,0.31,0
2023-09-06,1.35,-0.42,0.397,0.27,0.01,-0.252,0.082,0.163,-0.556,-0.088,8.73,-0.118,1.19,-0.08,0.189,115.2,2.961,0.96,-20.144,-9.553,-0.42,-0.293,18.28,0.807,0.068,1.37,-0.989,0.77,1
2023-09-07,1.66,0.31,0.494,0.27,0.01,-0.203,0.347,-0.341,0.076,-0.214,15.22,-0.074,1.84,-1.06,-0.832,199.53,5.543,1.07,18.336,5.622,-0.7,-0.554,47.97,0.273,0.071,3.14,1.261,1.17,1
2023-09-08,1.81,0.15,0.54,0.0,0.0,-0.082,0.171,-0.537,0.226,0.007,14.18,0.009,1.85,-0.89,0.539,132.16,0.503,0.91,-2.269,15.031,-0.32,0.374,27.35,-0.081,0.1,-0.35,-2.768,1.29,0
2023-09-11,2.26,-0.45,0.673,0.0,0.0,-0.038,0.06,-0.357,0.825,-0.186,14.16,-0.14,1.96,0.09,0.05,110.19,-0.928,0.98,41.154,31.97,0.14,0.139,25.15,0.013,0.103,-3.89,-2.672,1.29,0
2023-09-12,1.45,0.81,0.431,0.269,0.01,0.264,-0.28,-0.294,0.584,-0.286,20.88,-0.21,2.15,1.14,0.244,132.33,-3.077,0.98,1.444,0.945,0.67,0.145,22.88,-0.812,0.042,-0.29,-2.611,0.59,1
2023-09-13,1.45,0.0,0.43,0.536,0.02,-0.011,-0.383,0.104,0.081,0.15,14.07,0.009,1.78,-1.04,-0.616,149.91,-0.431,0.88,31.33,46.43,-0.57,-0.254,30.28,0.008,0.043,3.12,1.498,0.71,1
2023-09-14,1.92,-0.47,0.569,0.267,0.01,-0.071,0.033,-0.37,0.233,0.025,7.86,0.047,1.32,0.29,0.29,134.75,-2.609,0.92,9.733,4.785,0.12,0.107,25.87,-0.01,0.121,-5.27,-6.519,1.27,0
2023-09-15,2.4,-0.48,0.699,0.532,0.02,-0.673,0.678,-0.356,0.579,0.378,20.34,0.362,2.73,0.81,0.261,146.91,-0.871,1.1,16.478,-2.324,0.84,0.386,33.3,0.099,0.038,-4.9,-4.257,0.67,0
2023-09-18,2.0,-0.4,0.584,0.265,0.01,0.264,0.374,0.166,0.145,-0.022,11.88,-0.061,2.06,-1.56,-1.302,211.51,0.0,1.2,-52.5,-56.424,-1.22,-1.06,50.77,-0.117,0.072,7.57,8.583,1.49,1
2023-09-19,1.41,-0.59,0.414,0.264,0.01,0.412,-0.705,-0.026,-0.171,-0.361,12.69,-0.36,1.95,0.01,0.295,87.82,5.066,1.16,-35.781,-33.587,0.07,0.189,24.25,-0.44,0.036,1.52,-2.778,0.89,1
2023-09-20,1.47,0.06,0.434,0.263,0.01,0.131,-0.59,0.921,-0.918,-0.0,11.32,-0.05,1.47,-0.23,0.211,126.28,0.65,0.93,-9.872,12.389,-0.22,-0.033,33.24,0.345,0.028,0.79,0.0,1.02,0
2023-09-21,1.27,-0.2,0.379,0.262,0.01,-0.289,0.104,-0.948,-0.018,-0.467,18.17,-0.454,2.69,-1.53,-1.759,260.53,2.665,0.9,-16.071,-13.694,-0.94,-1.137,59.65,0.296,0.039,7.3,6.77,1.58,1
2023-09-22,0.8,-0.47,0.242,0.262,0.01,-0.011,0.18,-0.162,0.995,0.283,11.07,0.246,1.74,-1.82,-0.781,139.67,5.863,0.82,42.404,56.807,-1.64,-1.014,46.53,0.417,0.043,15.85,13.234,2.44,0
2023-09-25,1.2,-0.4,0.361,0.0,0.0,0.961,-1.076,0.876,-0.797,-0.151,11.6,-0.096,1.87,-0.09,-0.567,152.58,-0.841,1.06,24.434,-3.402,-0.23,-0.499,40.91,-0.414,0.115,-1.94,-0.635,1.48,0
2023-09-26,1.63,0.43,0.498,0.0,0.0,0.027,-1.101,-0.349,-0.633,-0.174,28.84,-0.177,4.27,0.45,0.75,145.83,-1.59,0.69,-33.137,1.702,0.4,0.622,35.81,0.183,0.126,-1.74,-2.029,1.62,1
2023-09-27,2.44,0.81,0.75,0.0,0.0,-0.772,0.059,-0.833,0.225,0.039,16.66,-0.071,2.29,-1.57,-0.89,165.73,4.007,1.04,43.365,-4.23,-1.47,-0.912,47.03,0.988,0.086,12.07,5.047,2.33,0
2023-10-04,0.27,-2.17,0.084,0.261,0.01,-0.497,1.221,-0.083,0.866,-0.287,25.91,-0.265,3.04,0.89,-1.458,232.325,9.31,0.97,19.408,27.653,-1.35,-1.133,59.07,0.29,0.071,8.56,11.061,2.96,1
2023-10-05,1.91,-0.56,0.598,-0.26,-0.01,-0.136,0.581,-0.691,0.725,0.239,20.71,0.166,2.93,1.35,1.093,186.25,-7.074,1.21,43.31,15.01,0.81,0.707,48.02,-0.766,0.069,-6.07,-10.328,2.58,1
2023-10-06,1.07,0.34,0.334,-0.261,-0.01,-0.536,0.31,-0.62,0.522,-0.049,14.04,-0.012,1.79,-0.12,-0.063,163.61,-1.2,1.1,-11.59,-2.268,-0.13,-0.026,41.22,-0.505,0.046,-0.48,-0.964,1.32,1
2023-10-10,1.2,-0.13,0.371,0.0,0.0,-0.38,0.813,-0.624,1.149,-0.289,15.89,-0.317,2.25,1.99,3.499,302.53,2.003,0.97,-15.468,-4.057,1.81,2.828,81.245,0.149,0.086,-2.41,-9.417,2.04,1
2023-10-11,1.89,-0.69,0.581,0.0,0.0,0.659,-0.368,0.259,0.262,-0.028,16.21,0.052,2.0,0.58,0.422,167.82,-1.944,0.93,59.366,64.797,0.52,0.426,45.82,-0.47,0.096,-3.79,-3.785,1.35,0
2023-10-12,1.03,0.86,0.314,0.0,0.0,0.152,-0.848,0.365,-0.657,0.14,10.62,0.238,1.71,0.71,0.297,121.82,-1.403,0.91,29.173,32.345,0.43,0.237,33.3,-0.313,0.084,-5.52,-5.074,1.69,0
2023-10-13,1.48,0.45,0.453,0.0,0.0,-0.459,0.228,-0.411,-0.077,0.053,12.23,0.046,1.9,-0.63,-0.719,222.58,-0.87,1.03,3.52,-8.573,-0.62,-0.715,60.42,0.703,0.033,3.73,3.794,2.64,0
2023-10-16,1.84,0.36,0.568,0.0,0.0,0.298,0.135,0.134,0.24,-0.206,15.99,-0.298,2.5,-1.23,-1.516,257.69,2.337,1.1,-76.269,-77.699,-0.5,-0.75,65.13,0.208,0.064,15.76,16.878,4.28,1
2023-10-17,1.45,0.39,0.445,0.0,0.0,-0.022,-0.351,-0.06,-0.125,-0.109,8.38,-0.058,1.25,1.2,0.849,150.88,-4.247,0.99,57.66,75.194,1.06,0.72,40.96,-0.382,0.025,-10.92,-9.895,2.43,0
2023-10-18,1.54,-0.09,0.47,0.0,0.0,0.054,-0.156,0.146,-0.2,-0.072,11.33,0.067,2.17,-0.25,0.849,237.51,-0.284,1.16,17.694,0.401,-0.01,0.644,56.03,0.351,0.042,3.89,2.7,1.57,0
2023-10-19,0.99,-0.55,0.305,0.0,0.0,-0.647,0.499,-0.649,0.421,0.339,12.66,0.284,1.56,-1.62,-0.933,224.44,6.667,1.2,-23.508,-26.456,-1.34,-0.981,60.36,0.023,0.12,7.49,4.684,2.27,1
2023-10-20,0.91,-0.08,0.287,0.0,0.0,-0.607,1.156,-0.567,1.081,-0.45,29.01,-0.274,3.71,-0.96,-1.263,247.4,1.335,1.18,22.575,24.843,-0.85,-1.003,69.85,0.04,0.08,11.34,8.464,2.85,1
